aberration	аберрация, отклонение
abnormal operation	ненормальная работа
abrasion	истирание, трение
abrasive	абразивный; шлифовальный материал (паста, наждачная бумага)
absorbent	поглотитель, абсорбент; сглаживающий (о фильтре)
absorber	поглотитель
absorption	поглощение, абсорбция
abut	прилегать, примыкать
AC input power	входное питание переменного тока
AC power	питание переменного тока
AC voltage	переменное напряжение
acceptable	приемлемый, допустимый
access	доступ (к узлу, детали; к памяти)
access control mode	режим использования машины только допущенными пользователями
access cover	крышка доступа (к узлу, детали)
access hole	отверстие доступа (к детали, месту регулировки)
access panel	панель доступа (к машине, узлу, модулю)
accessible	доступный, имеющий свободный доступ
accessory	вспомогательное устройство; комплектующая деталь; вспомогательное оборудование; вспомогательный, дополнительный
account	счет (копий, импульсов)
account number	номер счета
accounting mode	режим использования машины с контролем за количеством изготавливаемых копий
accuracy	точность
acid	кислота
action	работа; действие; мера
activate	активировать
actuate	активизировать; вызывать срабатывание; срабатывать
actuating mechanism	активизирующий механизм; механизм включения (пуска)
actuation	активизация; срабатывание; включение
actuation line	линия возбуждения (активирования включения)
actuation point	точка (момент) срабатывания
actuator	активатор; пускатель
actuator arm	рычаг активатора (пускателя)
actuator bracket	кронштейн включения, кронштейн активатора
adaptor	переходник
add	добавлять, пополнять
addition	добавление; заправка (тонера)
address	адрес, адресный
adhere	прилипать, сцепляться
adhesive	клей; клейкое вещество
adjust (AD)	регулировка, настройка
adjuster	регулировочный элемент
adjusting	регулировочный
adjusting copy quality	настройка качества копии
adjustment	регулировка, настройка
adjustment specifications	технические характеристики регулировки
agitator	мешалка
air duct	воздушный канал (патрубок, шланг)
air fitting	воздушный ниппель
air hose	воздушный шланг
air knife	воздушный отсекатель, воздушный "нож" (отдув)
Allen key	ключ "Аллена" ("шестигранник")
Allen screw	винт с шестигранным отверстием в головке (под ключ Аллена)
Allen wrench	гаечный ключ Аллена
align	выравнивать, центрировать
alignment	выравнивание; центрирование; наладка
alignment stud	палей (штифт) выравнивания
alignment tool	приспособление (инструмент) для выравнивания
alphanumerical	буквенно-цифровой
alphanumerical fault	неиспрвность буквенно-цифрового блока
